agent,artifacts_created,artifacts_modified,completed_at,context_files_loaded,created_at,duration_minutes,handoff_count,next_agent,per_artifact_count,per_artifact_total_seconds,source_file,source_type,status,task_id,timestamp,token_input,token_output,token_total
manager,2,0,,,,,,,,,work/reports/logs/manager/2025-11-24T0452-iteration-3-executive-summary.md,work_log,,iteration-3-executive-summary,2025-11-24T0452,,,
manager,,,,,,,,,,,work/reports/logs/manager/2025-11-23T2106-orchestration-cycle-execution.md,work_log,,orchestration-cycle-execution,2025-11-23T2106,,,
manager,,,,,,,,,,,work/reports/logs/manager/2025-11-23T1845-inbox-review-coordination.md,work_log,,N/A,2025-11-23T1845,,,
synthesizer,,,,,,45,,,,,work/reports/logs/synthesizer/2025-11-27T1911-poc3-followup-synthesis-worklog.md,work_log,,2025-11-24T1756-synthesizer-followup-2025-11-23T2100-diagrammer-poc3-diagram-updates,2025-11-27T1911,,,
synthesizer,2,0,,,,65,,,,,work/reports/logs/synthesizer/2025-11-23T2257-worklog-analysis-synthesis.md,work_log,,2025-11-23T2200-synthesizer-worklog-analysis,2025-11-23T2257,,,
synthesizer,,,,,,15,,,,,work/reports/logs/synthesizer/2025-11-24T1830-token-metrics-aggregation.md,work_log,,2025-11-24T1735-synthesizer-token-metrics-aggregation,2025-11-24T1830,,,
synthesizer,1,0,,5,,3,1,writer-editor,,,work/reports/logs/synthesizer/2025-11-23T2220-poc3-orchestration-metrics-synthesis.md,work_log,,2025-11-23T2117-synthesizer-poc3-aggregate-metrics,2025-11-23T2220,27403,6858,34261
synthesizer,,,,,,,,,,,work/reports/logs/synthesizer/2025-11-23T1921-synthesizer-done-work-assessment.md,work_log,,2025-11-23T1843-synthesizer-done-work-assessment,2025-11-23T1921,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-24T0457-curator-changelog-update.md,work_log,,changelog-update-iteration-3,2025-11-24T0457,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-23T0811-curator-orchestration-guide.md,work_log,,2025-11-23T0722-curator-orchestration-guide,2025-11-23T0811,,,
curator,,,,,,,,,,,work/reports/logs/curator/2025-11-23T2246-directives-approaches-review-report.md,work_log,,2025-11-23T2159-curator-directives-approaches-review,2025-11-23T2246,,,
